Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
5ZP9CL4Y,journalArticle,2022,"Sischka, Philipp E.; Décieux, Jean Philippe; Mergener, Alexandra; Neufang, Kristina M.; Schmidt, Alexander F.",The Impact of Forced Answering and Reactance on Answering Behavior in Online Surveys,Social Science Computer Review,,0894-4393,10.1177/0894439320907067,https://doi.org/10.1177/0894439320907067,"Forced answering (FA) is a frequent answer format in online surveys that forces respondents to answer each question in order to proceed through the questionnaire. The underlying rationale is to decrease the amount of missing data. Despite its popularity, empirical research on the impact of FA on respondents? answering behavior is scarce and has generated mixed findings. In fact, some quasi-experimental studies showed that FA has detrimental consequences such as increased survey dropout rates and faking behavior. Notably, a theoretical psychological process driving these effects has hitherto not been identified. Therefore, the aim of the present study was twofold: First, we sought to experimentally replicate detrimental effects of FA on online questionnaire data quality. Second, we tried to uncover an explanatory psychological mechanism. Specifically, we hypothesized that FA effects are mediated through reactance. Zero-order effects showed that FA increased state reactance and questionnaire dropout as well as reduced answer length in open-ended questions. Results of survival and mediation analyses corroborate negative FA effects on data quality and the proposed psychological process.",4/1/22,9/23/22 16:30,9/23/22 16:30,9/23/22 16:30,405-425,,2,40,,,,,,,,,,en,,,,,SAGE Journals,,Publisher: SAGE Publications Inc,,/Users/corymoore/Zotero/storage/F47JTBEF/Sischka et al_2022_The Impact of Forced Answering and Reactance on Answering Behavior in Online.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KI47499G,journalArticle,2018,"Stoner, Philip","Vulnerable Narcissism, Self-Criticism, and Self-Injurious Behavior: Emotion Regulation as a Moderator",Master's Theses,,,,https://aquila.usm.edu/masters_theses/584,,12/1/18,9/23/22 16:30,9/23/22 16:30,,,,,,,,"Vulnerable Narcissism, Self-Criticism, and Self-Injurious Behavior",,,,,,,,,,,,,,,,/Users/corymoore/Zotero/storage/PGP3FDNN/584.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKENJRS,journalArticle,2022,"Minnikin, Amy; Beck, James W.; Shen, Winny",Why Do You Ask? The Effects of Perceived Motives on the Effort that Managers Allocate Toward Delivering Feedback,Journal of Business and Psychology,,1573-353X,10.1007/s10869-021-09776-x,https://doi.org/10.1007/s10869-021-09776-x,"Although people are generally motivated to perform well at work, there is often ambiguity regarding whether they are meeting their organization’s standards. As such, people often seek feedback from others. To date, feedback-seeking research has emphasized the feedback seeker, identifying traits and circumstances associated with feedback seeking, whereas far less is known about this process from the feedback source’s point of view. However, we expect that feedback sources will vary in their willingness to allocate effort toward delivering feedback. Specifically, integrating the cost-value framework of feedback with self-regulatory theories of goal prioritization, we predict that effort allocated toward a feedback episode is determined by the feedback source’s perceptions of the feedback seeker’s motives for seeking feedback. Across two complementary studies, we found perceived instrumental motives (i.e., a desire to improve one’s performance) to be positively related to the amount of effort put toward delivering feedback, and perceived image enhancement motives (i.e., a desire to impress the feedback source) to be negatively related to effort allocation. Importantly, Study 1 was a field study in which managers were asked to report on a recent episode in which a subordinate had sought their feedback, and Study 2 used an experimental design in which feedback-seeking motives were manipulated. Thus, the current research makes an important contribution to the literature by considering the often overlooked role that the feedback source plays in the feedback process. Moreover, triangulation of both field and experimental data enhances both the external and internal validity of our conclusions.",8/1/22,9/23/22 16:30,10/5/22 23:13,9/23/22 16:30,813-830,,4,37,,J Bus Psychol,Why Do You Ask?,,,,,,,en,,,,,Springer Link,,,,/Users/corymoore/Zotero/storage/BUHDTSFP/Minnikin et al_2022_Why Do You Ask.pdf,,,Effort; Feedback sources; Feedback-seeking behavior; Feedback-seeking motives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5JX2RFY,journalArticle,2020,"Cabecinha-Alati, Sarah; Malikin, Hagit; Montreuil, Tina C.",Emotion Regulation and Personality as Predictors of Mothers' Emotion Socialization Practices,Family Relations,,1741-3729,10.1111/fare.12501,http://onlinelibrary.wiley.com/doi/abs/10.1111/fare.12501,"Background Parental emotion regulation (ER) and emotion socialization have been identified as key factors contributing to children's emotional competence; however, only a handful of studies have assessed the relationship between these constructs. Objective The goal of the present study was to determine whether parental ER would predict parents' self-reported emotion socialization practices above and beyond the influence of personality. Method Parents completed a series of self-report measures online. After data cleaning, 104 mothers of children between the ages of 8 and 12 years were retained for analyses. Results Hierarchal regressions revealed that mothers who reported higher levels of ER skills and more frequent use of cognitive reappraisal were more likely to report engaging in supportive response behaviors when controlling for personality. Moreover, maternal reappraisal was significantly and inversely associated with reports of unsupportive emotion socialization. Conclusion Findings provide evidence to support the association between maternal ER and emotion socialization behaviors. Implications Results are discussed with respect to their implications for emotion-focused interventions aimed at promoting supportive parenting practices.",2020,9/23/22 16:30,10/6/22 19:01,9/23/22 16:30,1055-1072,,5,69,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/fare.12501,,/Users/corymoore/Zotero/storage/LR2KA43C/Cabecinha-Alati et al_2020_Emotion Regulation and Personality as Predictors of Mothers' Emotion.pdf; /Users/corymoore/Zotero/storage/D4DHBT7W/fare.html,,,emotion regulation; emotion socialization; parenting; personality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V9L5TQY5,journalArticle,2018,"Spires, Hiller A.; Kerkhoff, Shea N.; Graham, Abbey C. K.; Thompson, Isaac; Lee, John K.",Operationalizing and validating disciplinary literacy in secondary education,Reading and Writing,,1573-0905,10.1007/s11145-018-9839-4,https://doi.org/10.1007/s11145-018-9839-4,"The goal of this study was to define the construct and establish the validity of disciplinary literacy, which has recently gained attention from the implementation of the Common Core State Standards (National Governors Association Center for Best Practices & Council of Chief State School Officers in Common Core State Standards for English language arts & literacy in history/social studies, science, and technical subjects [PDF]. Authors, Washington, DC, 2010). After defining disciplinary literacy in the four core disciplines of English language arts, science, history and social studies, and mathematics, scales were developed and administered to a snowball sample of professionals nationwide, with 857 respondents. The data showed evidence of disciplinary literacy as a multidimensional construct with three related factors: source literacy, analytic literacy, and expressive literacy. Based on EFA and CFA results, we can conclude that there are at least three types of literacy in operation among the four core disciplines. The three factors of literacy varied significantly by the four core disciplines of English/language arts (ELA), science, history and social studies, and mathematics, supporting the notion that each discipline uses literacy uniquely. This is the first study of its kind to attempt to define, quantify, and validate the construct of disciplinary literacy.",6/1/18,9/23/22 16:30,9/23/22 16:30,9/23/22 16:30,1401-1434,,6,31,,Read Writ,,,,,,,,en,,,,,Springer Link,,,,/Users/corymoore/Zotero/storage/5QZZKWDH/Spires et al_2018_Operationalizing and validating disciplinary literacy in secondary education.pdf,,,Disciplinary literacy; Literacy in history; Literacy in mathematics; Literacy in science; Secondary education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIQACEPZ,journalArticle,2021,"Graham, Katrina A.; Smith, Robert S.",When leaders are marketers: a duality perspective on the effect of openness to experience on marketing behaviors and the moderating role of bottom-line mentality,Current Psychology,,1936-4733,10.1007/s12144-021-02216-2,https://doi.org/10.1007/s12144-021-02216-2,"While research has considered the effects of CEO and top-management team members’ characteristics on strategic initiatives (e.g. marketing), less research has examined when non-executive leaders directly contribute to these initiatives. In this research, drawing from the duality framework on leader characteristics, we examine how leader openness to experience is associated with their increased engagement in marketing behaviors (e.g. recruiting new customers). Across two field studies, including an exploratory sample of small business owners and a sample of non-executive leaders in the outpatient physical therapy industry, we find that openness to experience was related to leaders’ likelihood of executing marketing functions. Additionally, this relationship was weakened when leaders had a primary focus on short-term financial outcomes (i.e., high bottom-line mentality). We further link marketing to unit-level performance in a subsample of Study 2, suggesting that non-executive leaders’ marketing behaviors can impact objective organizational performance.",9/1/21,9/23/22 16:30,9/23/22 16:30,9/23/22 16:30,,,,,,Curr Psychol,When leaders are marketers,,,,,,,en,,,,,Springer Link,,,,/Users/corymoore/Zotero/storage/HTCZVXV9/Graham_Smith_2021_When leaders are marketers.pdf,,,Bottom-line mentality; Duality framework; Leadership; Marketing; Openness to experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56VWHLE3,journalArticle,2016,"Ragsdale, Jennifer M.; Beehr, Terry A.",A rigorous test of a model of employees' resource recovery mechanisms during a weekend,Journal of Organizational Behavior,,1099-1379,10.1002/job.2086,http://onlinelibrary.wiley.com/doi/abs/10.1002/job.2086,"Employees' recovery from the effects of occupational stress can be affected by their actions during time away from work. Conservation of resources theory argues that a key to an effective stress recovery process is the replenishment of resources during off-work time (a weekend in the present study). We test a model of the stress recovery process during a weekend whereby two recovery mechanisms (weekend activities and recovery experiences) improve two personal resources (self-regulatory capacity and state optimism), subsequently affecting psychological outcomes (work engagement and burnout) at the start of the next workweek. Employees (n = 233) from various jobs responded to online surveys before and after a weekend. Controlling for pre-weekend resource levels and psychological outcomes assessed on Friday, the two weekend stress recovery mechanisms (weekend activities and recovery experiences) contributed to improving or maintaining self-regulatory and optimism resources on Monday. Of note, psychological detachment may result in less rather than more of the resource of state optimism on Monday. Monday resource levels were linked to improved work engagement and burnout. As proposed by conservation of resources theory, employees can benefit from participating in activities that replenish resources necessary to meet work demands upon returning to work after a weekend. Copyright © 2016 John Wiley & Sons, Ltd.",2016,9/23/22 16:30,10/21/22 2:29,9/23/22 16:30,911-932,,6,37,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/job.2086,,/Users/corymoore/Zotero/storage/TZ6XESZK/Ragsdale_Beehr_2016_A rigorous test of a model of employees' resource recovery mechanisms during a.pdf; /Users/corymoore/Zotero/storage/NPI829G4/Ragsdale_Beehr_2016_A rigorous test of a model of employees' resource recovery mechanisms during a.pdf; /Users/corymoore/Zotero/storage/UVZUAUC5/job.html; /Users/corymoore/Zotero/storage/T67ZK6P5/job.html,,,burnout; personal resources; recovery experiences; weekend recovery; work engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB5PVQEW,journalArticle,2022,"Kahl, Bianca L.; Kavanagh, Phillip S.; Gleaves, David H.",Extending a Life History Model of Psychopathology: Expectations and Schemas as Potential Mechanisms,Evolutionary Psychological Science,,2198-9885,10.1007/s40806-021-00300-1,https://doi.org/10.1007/s40806-021-00300-1,"Although there have been recent advances in knowledge and thinking regarding life history conceptualizations of psychopathology, there is still a missing link. That is, although life history strategies may set the stage for the development of various psychopathologies, we believe there is a missing key factor in understanding individuals’ risk profiles of psychopathology. This study explored whether schemas and expectations might help differentiate between those who experience psychopathology and those who do not in a student and community sample. In the current cross-sectional study (N = 378), we examined the associations between life history indicators and experiences of anxiety, depression, obsessive–compulsive symptomatology, and substance use, as well as the possible mediating and moderating effects of schema and expectations on the associations, respectively. We found several significant mediational pathways with indicators of a faster life strategy predicting increased levels of dysfunctional schemas, and in turn predicting increased experiences of depression, anxiety, and obsessive–compulsive symptomatology, but not substance use. Moreover, although expectations did not significantly moderate the mediational pathways, expectations were a significant predictor of depression and anxiety, with those who reported having their expectations rarely met reporting increased experiences of depression and anxiety. Although this research is preliminary in nature, it has provided initial insight into how our schemas and expectations might play a role, alongside life history strategies, in better understanding individuals’ risk profiles for psychopathology.",6/1/22,9/23/22 16:30,10/5/22 23:12,9/23/22 16:30,158-173,,2,8,,Evolutionary Psychological Science,Extending a Life History Model of Psychopathology,,,,,,,en,,,,,Springer Link,,,,/Users/corymoore/Zotero/storage/I7SVCX8T/Kahl et al_2022_Extending a Life History Model of Psychopathology.pdf,,,Expectations; Life history strategies; Life history theory; Psychopathology; Schemas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8YAPN2JI,journalArticle,2020,"Hinrichs, Matthew P.; Price, Nathaniel B.; Gruntorad, Matthew P.; Pope, Kevin L.; Fontaine, Joseph J.; Chizinski, Christopher J.",Understanding Sportsperson Retention and Reactivation Through License Purchasing Behavior,Wildlife Society Bulletin,,1938-5463,10.1002/wsb.1088,https://onlinelibrary.wiley.com/doi/abs/10.1002/wsb.1088,"Most state and provincial fish and wildlife agencies have access to important information about patterns in sportsperson participation through their license databases. Using transaction data from Nebraska Game and Parks Commission's electronic hunting and fishing license system, we tracked license purchases of Nebraska, USA, resident license holders in 2010 through 2017. We categorized sportspersons by gender and yearly purchases as hunting only (Hunter), fishing only (Angler), a combination of hunting and fishing (Hunter–Angler), or no purchases (Inactive). The probability of movement among active sportsperson groups was limited and varied little based on initial group participation. The Angler group had the greatest probability of an individual transitioning to the Inactive group (females = 0.39; males = 0.33). The Hunter–Angler group had the greatest probability of an individual remaining within the same group (females = 0.65; males = 0.76). There was a relatively low probability of an individual in the Hunter group moving to the Angler group and vice versa (≤0.02). The sportsperson population is dynamic and understanding patterns of sportsperson participation is important for the future of fish and wildlife management in North America. Using data readily available to most fish and wildlife agencies has the potential to significantly improve our understanding of hunter and angler participation and aid management agencies and conservation organizations in the development of more effective strategies for managing sportspersons. © 2020 The Wildlife Society.",2020,9/23/22 16:30,10/5/22 23:12,9/23/22 16:30,383-390,,2,44,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/wsb.1088,,/Users/corymoore/Zotero/storage/5FWTXL9V/Hinrichs et al_2020_Understanding Sportsperson Retention and Reactivation Through License.pdf; /Users/corymoore/Zotero/storage/TZER2LHA/wsb.html,,,electronic license database; hunting; license purchases; Markov chain modeling; recreational fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVKPVGBU,bookSection,2014,"Greszki, Robert; Meyer, Marco; Schoen, Harald",The impact of speeding on data quality in nonprobability and freshly recruited probability-based online panels,Online Panel Research,978-1-118-76352-0 978-1-119-94177-4,,,https://onlinelibrary.wiley.com/doi/10.1002/9781118763520.ch11,,4/11/14,9/23/22 16:30,9/23/22 16:30,9/23/22 16:30,238-262,,,,,,,,,,,"John Wiley & Sons, Ltd","Chichester, UK",en,,,,,DOI.org (Crossref),,DOI: 10.1002/9781118763520.ch11,,/Users/corymoore/Zotero/storage/8IRCGKCB/Greszki et al. - 2014 - The impact of speeding on data quality in nonproba.pdf,,,,"Callegaro, Mario; Baker, Reg; Bethlehem, Jelke; Göritz, Anja S.; Krosnick, Jon A.; Lavrakas, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I5IAT4PN,journalArticle,2017,"Huang, Jason L.; Cropanzano, Russell; Li, Andrew; Shao, Ping; Zhang, Xin-an; Li, Yuhui","Employee conscientiousness, agreeableness, and supervisor justice rule compliance: A three-study investigation",Journal of Applied Psychology,,1939-1854,10.1037/apl0000248,,"Researchers have paid limited attention to what makes organizational authority figures decide to treat their employees either justly or unjustly. Drawing from the actor-focused model of justice, as well as the stereotype content model, we argue that employee conscientiousness and agreeableness can impact the extent to which supervisors adhere to normative rules for distributive, procedural, informational, and interpersonal justice, as a result of supervisors’ evaluations of their employees’ effort and their liking of the employees. Supervisory compliance with justice rules may, in turn, impact the extent to which employees judge themselves to be treated either justly or unjustly. We tested these possibilities in 3 studies. In Study 1, we utilized a meta-analysis to demonstrate positive relationships between employees’ conscientiousness, agreeableness, and their justice perceptions. In Study 2, we conducted 3 experiments to test the causal relationship between employee personality and supervisor intentions to comply with justice rules. In Study 3, we conducted an employee–supervisor dyadic field survey to examine the entire mediation model. Results are discussed in terms of the potential roles that both employees and supervisors may play in shaping employees’ justice perceptions. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,9/23/22 16:30,9/23/22 16:30,,1564-1589,,,102,,,"Employee conscientiousness, agreeableness, and supervisor justice rule compliance",,,,,,,,,,,,APA PsycNet,,Place: US Publisher: American Psychological Association,,/Users/corymoore/Zotero/storage/RWBSQ7WF/2017-32282-001.html,,,Agreeableness; Conscientiousness; Employee Characteristics; Intention; Justice; Models; Personality Traits; Supervisor Employee Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57DQ6HHA,journalArticle,2015,"Michel, Jesse S.; Hartman, Paige; Gitter, Seth",Development and validation of a short form aggressive beliefs and attitudes scale,Personality and Individual Differences,,0191-8869,10.1016/j.paid.2015.07.041,https://www.sciencedirect.com/science/article/pii/S0191886915004985,"This research outlines six studies (total N=3867) that develop and validate an Aggressive Beliefs and Attitudes — Short Form scale for use within the normal nonclinical adult population (e.g., organizational psychology). In the first two samples, exploratory factor analysis reduced the original 30 item scale to a shorter, more parsimonious, eight item measure. In the third sample, confirmatory factor analysis found that the proposed model and items fit the data extremely well. Examination of the nomological network underlying the new measure in Samples 3–4 displayed relationships with positive affect, negative affect, agreeableness, conscientiousness, and neuroticism ranging from r=.23 to −.23, while relationships with anger, hostility, physical aggression, and verbal aggression ranged from r=.49 to .30. Finally, in two criterion-related validity studies the relationships between the aggressive beliefs and attitudes scales, both original and short forms, and workplace deviance were examined with independent samples of employed adults. The short form scale was significantly related to workplace deviance in both samples (r=.37 and .43). Furthermore, these relationships were of identical magnitude to the full 30 item measure, suggesting that the short form scale comparably captures aggression-related behaviors with a greatly reduced number of items.",12/1/15,9/23/22 16:30,10/6/22 19:07,9/23/22 16:30,130-135,,,87,,Personality and Individual Differences,,,,,,,,en,,,,,ScienceDirect,,,,/Users/corymoore/Zotero/storage/XS32ECDM/Michel et al_2015_Development and validation of a short form aggressive beliefs and attitudes.pdf; /Users/corymoore/Zotero/storage/L74VVI56/S0191886915004985.html; /Users/corymoore/Zotero/storage/VR5LNHJS/S0191886915004985.html,,,Aggression; Deviance; Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAXD84V,journalArticle,2019,"Matherly, Ted","A panel for lemons? Positivity bias, reputation systems and data quality on MTurk",European Journal of Marketing,,0309-0566,10.1108/EJM-07-2017-0491,https://doi.org/10.1108/EJM-07-2017-0491,"Purpose The purpose of this paper is to investigate how the effectiveness of systems for ensuring cooperation in online transactions is impacted by a positivity bias in the evaluation of the work that is produced. The presence of this bias can reduce the informativeness of the reputation system and negatively impact its ability to ensure quality. Design/methodology/approach This research combines survey and experimental methods, collecting data from 1,875 Mechanical Turk (MTurk) workers in five studies designed to investigate the informativeness of the MTurk reputation system. Findings The findings demonstrate the presence of a positivity bias in evaluations of workers on MTurk, which leaves them undifferentiated, except at the extremity of the reputation system and by status markers. Research limitations/implications Because MTurk workers self-select tasks, the findings are limited in that they may only be generalizable to those who are interested in research-related work. Further, the tasks used in this research are largely subjective in nature, which may decrease their sensitivity to differences in quality. Practical implications For researchers, the results suggest that requiring 99 per cent approval rates (rather than the previously advised 95 per cent) should be used to identify high-quality workers on MTurk. Originality/value The research provides insights into the design and use of reputation systems and demonstrates how design decisions can exacerbate the effect of naturally occurring biases in evaluations to reduce the utility of these systems.",1/1/19,9/23/22 16:30,9/23/22 16:30,9/23/22 16:30,195-223,,2,53,,,A panel for lemons?,,,,,,,,,,,,Emerald Insight,,Publisher: Emerald Publishing Limited,,/Users/corymoore/Zotero/storage/X38MRTR2/Matherly_2019_A panel for lemons.pdf,,,Data quality; Methodology; Online research; Positivity bias; Reputation systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5L7BA623,journalArticle,2016,"Wiltshire, Jocelyn",Towards the Dark Side of Political Skill: Development and Validation of the Dark Political Skill Scale,Dissertations,,,10.11575/PRISM/28488,https://prism.ucalgary.ca/handle/11023/3197,"In the present research, I develop and validate the Dark Political Skill Scale. Intended to supplement the existing Political Skill Inventory (PSI; Ferris et al., 2005), the Dark Political Skill Scale captures the more covert and deceptive side of political effectiveness in the workplace. Across three studies, I collected data from independent samples of full-time employees (N = 430, N = 157, and N = 142), representing a variety of occupational backgrounds. The 10-item uni-dimensional Dark Political Skill Scale demonstrated consistent evidence of convergent validity. As expected, it was positively related to (though not redundant with) an array of social competencies (political skill, social skill, self-monitoring, and perceived ability to deceive) and political will. I also found evidence of criterion-related validity as the Dark Political Skill Scale was associated with behavioural outcomes, including greater engagement in counterproductive work behaviour and workplace impression management. Dark political skill also acted as an influential moderator in predicting impression management. Importantly, in comparison to the PSI, the Dark Political Skill Scale demonstrated differential relationships with the variables in the present research. Of note, the personality profiles of employees scoring high on dark political skill showed a different pattern of results than the PSI, such that the former were lower in Honesty-Humility, Emotionality, and Agreeableness. Finally, self- and peer-reports indicated low to moderate convergence for the Dark Political Skill Scale, which was interpreted to be suggestive of the deceptive nature of dark political skill. Taken together, the Dark Political Skill Scale offers a novel theoretical and methodological contribution to the organizational politics literature. Supplementing the PSI, this new scale provides the opportunity for a more comprehensive assessment of workplace political effectiveness, and a greater understanding of the competencies required for successful engagement in a full range of political behaviours.",2016,9/23/22 16:30,10/22/22 17:13,9/23/22 16:30,,,,,,,Towards the Dark Side of Political Skill,,,,,,,eng,"University of Calgary graduate students retain copyright ownership and moral rights for their thesis. You may use this material in any way that is permitted by the Copyright Act or through licensing that has been assigned to the document. For uses that are not allowable under copyright legislation or licensing, you are required to seek permission.",,,,prism.ucalgary.ca,,Accepted: 2016-08-22T19:00:22Z Publisher: Graduate Studies,,/Users/corymoore/Zotero/storage/KYANUZWG/3197.html; /Users/corymoore/Zotero/storage/EIMKQ53E/Wiltshire_2016_Towards the Dark Side of Political Skill.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348VH9LD,journalArticle,,"Brusso, Robert Conrad",Employee behavioral intention and technology use: Mediating processes and individual difference moderators,Dissertations,,,,https://www.proquest.com/docview/1754353377/abstract/A653B0C6D387492FPQ/1,"Considering the substantial amount of time and organizational resources that are involved in the development and implementation of end-user technology (e.g., communication software platforms, social networking sites) within organizations, it is imperative to understand the factors that best predict use of end-user software. Although technology acceptance models, grounded in broader theories of behavior, do exist, these models fall-short in determining the most proximal antecedents of actual behavior. Currently, the majority of the research in the information technology arena posits behavioral intention as the most proximal antecedent of technology use. Behavioral intention does explain variance in use, but this relationship has been the subject of discussions and research calling for 1) an investigation of potential moderators based on meta-analytic results, 2) the consideration of theoretically meaningfully mediators that may explain the relationship between behavioral intention and behavior, and 3) stronger experimental designs that do not rely on self-reported technology use. To this end, a model was developed that posited that the relationship between behavioral intention and behavior is mediated by implementation plans. Further, it was also hypothesized that the behavioral intention to implementation plans relationship, as well as the implementation plans to behavior relationship, is moderated by computer self-efficacy. To test the hypotheses, approximately 406 participants from a large international organization responded to survey questions intended to assess their behavioral intentions, implementation plans, and computer self-efficacy. Further, participant usage of the technology in question (Microsoft Lync) was assessed by querying their actual use following a one month post-survey lag. The results demonstrated partial support for the complete hypothesized model, with implementation plans mediating the behavioral intentions—behavior relationship. The moderating effect of computer self-efficacy was not supported. Practical implications, directions for future, and limitations are discussed.",,9/23/22 16:30,10/22/22 20:30,9/23/22 16:30,,,,,,,Employee behavioral intention and technology use,,,,,,,English,Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.,,,,ProQuest,,ISBN: 9781339346458,,/Users/corymoore/Zotero/storage/4EC6T3XG/Brusso_Employee behavioral intention and technology use.pdf,,,Behavioral intention; Computer self-efficacy; Implementation plans; Organizational technology; Psychology; Social sciences; Technology acceptance; Technology use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWC8VR6M,journalArticle,2021,"Tröster, Christian; Van Quaquebeke, Niels","When Victims Help Their Abusive Supervisors: The Role of LMX, Self-Blame, and Guilt",Academy of Management Journal,,0001-4273,10.5465/amj.2019.0559,http://journals.aom.org/doi/abs/10.5465/amj.2019.0559,"Studies on abusive supervision typically posit that targets of abuse will either directly blame the perpetrating supervisor or indirectly blame the organization for allowing the abuse, and as a result reduce their cooperativeness at work. We pivot from this predominant logic and argue that, under certain circumstances, targets of abusive supervision may blame themselves, feel guilty, and then try to make it up to their abusive supervisors by helping them more. Drawing on the emotional process theory of abusive supervision and the more general sociofunctional perspective of emotions, we specify that such a dynamic is more likely to ensue when subordinates otherwise experience the relationship with their supervisors as good (high LMX). Two studies—an experiment and a two-week bi-daily experience sampling study—provide support for our reasoning. As such, our study extends theorizing on the consequences of abusive supervision, which has typically found that it reduces cooperative behaviors. Moreover, it contributes to previous speculations that leaders may engage in abusive supervision because it has beneficial consequences for them.",2021-12,9/23/22 16:30,9/23/22 16:30,9/23/22 16:30,1793-1815,,6,64,,AMJ,When Victims Help Their Abusive Supervisors,,,,,,,,,,,,journals-aom-org.prox.lib.ncsu.edu (Atypon),,Publisher: Academy of Management,,/Users/corymoore/Zotero/storage/3EILYTMB/Tröster_Van Quaquebeke_2021_When Victims Help Their Abusive Supervisors.pdf,,,leadership; leadership theories; longitudinal; mood and emotions; organizational behavior (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSKBWCUM,journalArticle,2019,"Wolff, Irenaeus",The reliability of questionnaires in laboratory experiments: What can we do?,Journal of Economic Psychology,,0167-4870,10.1016/j.joep.2019.102197,https://www.sciencedirect.com/science/article/pii/S0167487018307153,"Questionnaires eliciting personality traits and other characteristics of a person are important tools for many experimental economists. While a lot is known about how to run experiments and about how to construct and run field surveys, much less is known about how to administer such surveys in a post-experimental context. A short survey among experimental economists documents substantial heterogeneity in the procedures used, and in expectations about the effects of procedural details. I run an experiment on five aspects that are specific to the laboratory context. I find that (i) paying participants as soon as they finish the questionnaire yields a lower answer quality than waiting for all or an intermediate procedure; (ii) having participants enter their names for receipt preparation does not reduce answer quality (and does not increase the social desirability of answers); (iii) a higher overall payment increases answer quality, while (iv) framing the fixed part of participants’ payment as being “for completing the questionnaire” as well as (v) progress feedback do not affect answer quality.",10/1/19,9/23/22 16:30,10/6/22 19:07,9/23/22 16:30,102197,,,74,,Journal of Economic Psychology,The reliability of questionnaires in laboratory experiments,,,,,,,en,,,,,ScienceDirect,,,,/Users/corymoore/Zotero/storage/UH7P7ZQ5/S0167487018307153.html; /Users/corymoore/Zotero/storage/3W4GXKRQ/Wolff_2019_The reliability of questionnaires in laboratory experiments.pdf,,,Experimental economics; Methods; Payment procedures; Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
